investment_class,currency,total_assets,yield,greatstone_rating,inception_date,tag,fund_size,return_ytd
Value,USD,1850000,0.37,3,18-06-2000,228959,Large,19.24
Value,USD,2690000000,5.42,3,25-10-2012,115361,Small,5.39
Value,USD,262880000,4.68,4,30-09-2009,245132,Small,5.23
Blend,USD,45550000,3.83,,29-04-2014,223604,Small,4.39
,USD,18390000,1.7,,17-09-1991,38744,,-0.13
Blend,USD,1160000000,1.7,3,01-09-2008,165878,Large,12.38
Value,USD,3900000000,2.94,2,29-11-2012,248111,Large,5.37
Value,USD,6410000000,2.12,2,14-07-2011,46718,Medium,1.66
Blend,USD,196990000,2.81,3,29-10-2006,131777,Large,6.99
Growth,USD,10830000000,1.33,,31-03-2015,36413,Large,10.31
Growth,USD,3460000000,2.82,4,11-02-2001,247634,Large,4.63
Growth,USD,111290000,3.13,0,19-04-2017,121823,Medium,5.3
Value,USD,69180000,2.13,3,18-12-2013,101393,Large,2.21
Blend,USD,86660000,3.56,3,21-06-2015,172268,Small,2.99
,USD,1570000000,1.78,,30-07-2006,198818,,-10.6
Value,USD,601590000,0.93,2,30-08-2011,174077,Medium,1.17
Blend,USD,88780000,1.73,2,28-12-2011,45530,Large,13.83
Blend,USD,23080000,5.4,0,05-12-2016,30419,Small,4.34
Value,USD,3070000000,3.45,4,30-04-2013,87920,Small,2.22
Blend,USD,6130000000,2.94,3,02-11-2014,137249,Large,7.41
Blend,USD,307870000,1.68,,29-09-2016,69902,Large,13.82
Blend,USD,982880000,1.9,4,05-11-2003,83492,Large,7.41
Value,USD,91500000,1.06,4,18-04-2016,203975,Medium,8.36
,USD,6760000,0.04,5,08-09-2013,72629,,14.65
Blend,USD,48410000,0,2,29-12-2014,217241,Large,3.74
Blend,USD,815760000,2.25,,30-01-2006,48626,Large,10.58
Blend,USD,266850000,2.15,2,29-11-2012,250550,Large,9.25
Value,USD,37670000,0.36,2,26-05-2014,212318,Medium,6.75
Blend,USD,92590000,2.64,2,08-04-1996,70379,Medium,2.53
Value,USD,258430000,1.7,3,28-04-2005,120140,Medium,1.54
Growth,USD,759710000,0,3,30-03-2008,249623,Small,16.12
Growth,USD,5110000000,0,4,19-11-2017,113273,Medium,17.42
Blend,USD,890400000,4.01,2,01-11-2009,132785,Small,4
Value,USD,31650000,0,2,01-03-2007,214055,Medium,3.17
Growth,USD,1100000000,0,3,20-07-1997,171863,Large,14.65
Blend,USD,6170000000,1.66,3,06-02-1996,222614,Large,13.23
Blend,USD,1160000000,0.7,2,10-08-1997,166022,Large,12.13
Blend,USD,108480000,0.02,3,28-02-2006,120563,Large,9.86
Blend,USD,42590000,0,3,25-11-2001,253421,Small,14.64
Value,USD,,4.75,3,11-06-2006,102428,Large,-1.63
Growth,USD,1150000000,1.13,2,30-12-2003,194354,Large,9.49
Blend,USD,1510000000,3.73,3,04-09-2000,71648,Small,3.77
Value,USD,1290000000,1.09,3,30-04-1998,214379,Small,7.69
Value,USD,22830000,3.81,0,28-11-2016,219671,Large,5.82
Growth,USD,9150000000,1.43,,01-10-2006,82628,Large,7.94
Blend,USD,31560000,0.81,,23-08-2015,145241,Large,7.03
,USD,142230000,1.29,0,29-06-2017,34784,,0.78
,USD,2240000000,4.61,,14-08-1997,103976,,7.5
,USD,178070000,2.2,3,13-04-1988,215675,,7.36
Value,USD,929150000,0.49,3,31-05-2004,180530,Medium,13.47
Value,USD,6960000,1.01,2,31-07-1997,191528,Medium,15.35
Blend,USD,726540000,0.57,2,01-01-1991,149822,Large,13.48
,USD,1620000000,3.71,3,28-09-2006,103643,,8.04
Blend,USD,3090000000,2.52,3,30-09-2002,233018,Large,2.64
Growth,USD,350300000,0.87,2,30-01-1995,156275,Large,11.04
Blend,USD,1160000000,2.04,3,20-12-2005,222281,Large,10.38
Value,USD,6750000000,2.02,2,03-01-2007,203768,Large,1.2
Growth,USD,839070000,0.04,4,10-09-2000,232010,Large,17.6
Blend,USD,55580000,3.26,3,30-04-2013,85013,Large,2.85
Growth,USD,5380000000,1.68,4,14-10-2004,228761,Large,11.86
Growth,USD,297990000,0,3,30-12-2002,196820,Medium,22.58
Growth,USD,2050000000,1.4,4,31-08-2010,44936,Large,13.92
Blend,USD,942870000,3.55,4,08-04-2012,220445,Large,6.55
Value,USD,3670000000,1.96,3,13-10-2002,94904,Medium,1.09
Blend,USD,331020000,0,4,16-11-1998,47942,Medium,3.92
Blend,USD,98160000,3.25,,31-07-2002,222551,Large,12.47
Growth,USD,15980000000,1.98,,31-03-2005,151973,Large,11.93
,USD,4400000000,3.04,5,29-11-2017,106883,,3.01
Growth,USD,62240000,0,1,24-11-1996,203219,Large,15.72
Blend,USD,9430000,0.33,0,18-12-2013,155033,Medium,0.68
Growth,USD,790820000,0,3,14-09-2005,202418,Small,13.5
Blend,USD,48560000,1.85,,29-04-2012,178442,Medium,6.48
Value,USD,62430000,1.31,3,29-06-2016,138266,Large,12.44
Growth,USD,843560000,0,2,27-03-2002,124217,Large,33.64
Growth,USD,108990000,0,2,26-01-2003,31814,Medium,20.11
Growth,USD,123260000,0,4,02-05-2002,169406,Small,27.71
Value,USD,217290000,1.49,2,30-03-2008,251603,Large,10.02
Value,USD,1700000000,3.01,4,17-05-1998,180197,Medium,2.57
Value,USD,7170000000,1.92,,18-10-2004,28547,Large,12.66
Blend,USD,1.5698E+11,1.79,4,16-02-1988,95075,Large,2.94
Growth,USD,638640000,0,3,31-07-2011,252314,Large,19.37
Blend,USD,120750000,3.18,3,22-01-2003,235943,Large,3.34
Value,USD,1280000000,1.97,2,05-07-2009,136088,Medium,1.55
Value,USD,5930000,2.17,0,06-03-2017,79559,Medium,1.5
Value,USD,37500000,1.47,2,10-07-2006,69812,Medium,2.39
Blend,USD,2590000000,1.97,3,30-12-1997,240794,Medium,17.24
Growth,USD,619100000,0.74,4,30-12-1998,209969,Large,18.98
,USD,1810000000,0,3,29-07-2010,34748,,1.9
Value,USD,1180000000,1.07,2,27-07-1997,58670,Small,10.71
,USD,230410000,5.3,,03-01-2016,121985,,2.91
Value,USD,79700000,0.42,4,20-12-2006,105929,Medium,12.41
Blend,USD,2280000000,2.5,3,01-10-2000,161675,Medium,2.73
Value,USD,28660000,3.44,2,22-12-2013,161882,Large,10.24
Value,USD,715850000,0.58,4,19-09-1985,115136,Small,11.75
Value,USD,201390000,2.2,2,09-02-2014,168830,Medium,2.48
Growth,USD,888250000,0,4,24-01-2018,157850,Large,16.86
Blend,USD,107630000,2.31,1,31-10-2004,196802,Large,4.38
,USD,44160000,3.64,,30-06-2014,112733,,0.15
Value,USD,471230000,6.68,4,29-09-2011,109511,Small,4.07
Growth,USD,2220000000,0.96,2,28-02-2001,199412,Large,12.46
Growth,USD,9480000,0.49,2,30-03-2015,141182,Large,13.63
Blend,USD,75530000,0,2,12-10-2006,64502,Medium,-6.39
Blend,USD,757210000,1.29,3,17-06-2001,90557,Large,11.01
Blend,USD,818180000,0.93,3,18-11-2008,172376,Large,6.5
Growth,USD,597260000,1.32,4,28-12-1993,196721,Large,9.05
Value,USD,631660000,2.21,3,28-12-2011,148238,Medium,10.93
Value,USD,181690000,0,3,03-11-2003,39977,Medium,15.41
Growth,USD,333240000,0,4,21-06-2009,244376,Medium,13.62
Blend,USD,136060000,0.99,3,30-09-2007,217979,Medium,15.6
Growth,USD,178960000,0.9,2,16-04-2017,173393,Large,11.63
Value,USD,6380000000,0.72,4,30-12-1998,41165,Small,12.26
Value,USD,818520000,0.93,4,14-11-2005,238148,Medium,13.05
Blend,USD,4100000000,2.36,,15-03-2017,212003,Medium,3.3
Blend,USD,6640000000,3.95,3,09-02-2011,243818,Large,13.35
Blend,USD,353870000,3.1,4,30-08-2016,67706,Medium,3.03
Value,USD,958950000,2.62,4,15-04-2012,237671,Medium,1.14
Blend,USD,911160000,2.6,5,30-05-2007,110699,Medium,2.79
,USD,24020000,0,1,13-12-2012,107459,,-1.71
Blend,USD,33740000,1.78,4,02-10-2011,123335,Large,9.66
Blend,USD,19040000000,3.61,3,12-08-2001,243044,Large,10.7
Blend,USD,610460000,0.87,2,05-06-1997,224945,Small,11.07
Blend,USD,5620000000,1.39,4,29-12-2011,66527,Large,13.19
Blend,USD,17600000000,1.79,5,05-07-2009,126593,Large,8.62
Value,USD,27340000,4.95,4,25-07-2016,111554,Small,1.18
Blend,USD,88380000,2.3,2,30-01-1996,183221,Medium,15.65
Value,USD,36320000,2.1,0,31-07-2017,83735,Small,2.22
Value,USD,81310000,0.37,2,29-12-2013,137033,Large,5.47
Value,USD,13970000,0.05,3,31-08-2004,214064,Small,16.44
Blend,USD,606130000,2.63,2,11-01-1995,85472,Medium,4.57
Blend,USD,72540000,1.2,3,01-08-2010,208655,Large,9.83
Value,USD,39360000000,4,5,15-09-1996,183725,Small,4
Blend,USD,6480000000,,,06-02-2019,243386,Small,10.44
Blend,USD,109430000,2.86,3,01-01-2008,194525,Medium,2.55
Value,USD,2310000000,2.01,3,09-12-2002,95210,Large,9.74
Growth,USD,47160000,0,2,16-11-1994,72458,Medium,15.18
Value,USD,244990000,1.25,4,29-04-2015,164141,Small,0.94
Value,USD,426780000,3.05,3,30-01-2006,117980,Large,17.19
Blend,USD,329320000,1.61,,31-10-2011,81962,Medium,10.69
Value,USD,658180000,0.66,,27-02-2017,112400,Medium,13.3
Growth,USD,13990000000,1.09,3,29-11-2010,137393,Large,13.59
Growth,USD,75130000,0.66,4,18-08-2011,51155,Medium,16.47
Value,USD,755700000,0.69,3,29-09-2009,229247,Medium,14.68
Growth,USD,1260000000,0,3,11-12-2006,83753,Medium,6.09
Blend,USD,165040000,3.13,3,19-02-1990,199673,Medium,2.64
Growth,USD,4930000000,1.05,3,30-07-2002,72116,Large,12.13
Value,USD,81410000,2.89,4,27-12-2007,43532,Small,3.12
Value,USD,560280000,2.38,5,02-08-2010,74492,Medium,1.68
Value,USD,302920000,2.35,3,14-09-2015,49319,Large,9.68
Value,USD,1190000000,1.39,3,13-09-2012,54035,Large,1.44
Blend,USD,29240000,1.22,3,28-06-2004,96524,Medium,2.54
Value,USD,459050000,2.97,4,31-05-1998,188180,Large,10.38
Blend,USD,13520000000,1.03,,14-03-2001,240065,Large,1.67
Blend,USD,631870000,1.1,4,29-12-2002,154322,Large,12.25
Value,USD,319390000,1.7,3,26-05-2014,42551,Large,11.53
Growth,USD,61250000,0.44,3,14-11-2013,162557,Large,20.97
Blend,USD,727640,0.14,2,29-12-1997,50507,Medium,13.14
Blend,USD,49560000,0,3,30-03-2016,29717,Medium,9.05
Blend,USD,3400000000,3.85,5,31-08-2010,157103,Small,4.2
Value,USD,314180000,5.51,3,28-12-2000,215216,Small,6.61
,USD,9190000,0,4,30-12-2013,226061,,9.88
Blend,USD,726540000,0.4,2,01-01-2004,148850,Large,13.41
Growth,USD,2600000000,4.77,5,27-05-2015,121328,Medium,2.2
Blend,USD,1020000000,0.37,,29-06-2008,108773,Large,10.25
Blend,USD,5160000000,0.4,5,27-01-2013,246635,Small,10.93
Growth,USD,888250000,0,,21-12-1999,149417,Large,16.86
Growth,USD,1510000000,0,3,20-12-2009,172502,Large,11.99
Value,USD,210060000,1.69,3,28-04-2011,73277,Large,10.86
Blend,USD,1670000000,1.51,,28-02-2002,216539,Large,6.61
Blend,USD,1150000000,5.53,2,09-03-2003,203651,Large,7.83
Growth,USD,16050000,0,,26-09-2010,58148,Large,1.63
Value,USD,530460000,3.69,3,30-10-2005,208673,Large,7.23
Blend,USD,432660000,2.95,3,05-11-1987,69218,Medium,2.59
Value,USD,2040000000,2.3,4,23-10-2016,109889,Large,9.41
,USD,166990000,7.22,3,06-12-2011,92879,,6
Growth,USD,1180000000,0,4,17-09-2014,213596,Large,16.45
Blend,USD,15870000,0.32,3,19-09-2012,58130,Large,6.91
Growth,USD,826880000,0.18,,18-09-2016,136313,Medium,24.15
Blend,USD,748320000,0.78,3,30-04-2013,201041,Large,14.56
Value,USD,5430000000,4.43,,30-11-2008,152603,Small,6.18
Blend,USD,1.1306E+11,1.73,3,14-03-2001,252647,Large,10.35
Growth,USD,40570000,1.01,1,31-08-2011,26648,Medium,10.82
Blend,USD,37740000,0.94,3,30-12-2007,80702,Large,7.07
Blend,USD,90080000000,1.48,,16-12-2010,246257,Medium,16.19
Blend,USD,4500000000,2.05,,23-06-2015,86624,Large,8.1
Blend,USD,172360000,3.48,,18-10-2004,142640,Large,10.34
Growth,USD,166030000,0,3,05-01-2009,104822,Large,16.64
,USD,,0,0,02-04-2014,108305,,-0.8
Blend,USD,105740000,2.89,4,30-01-2011,143711,Medium,3.21
Blend,USD,32610000,0,2,29-12-2016,170720,Small,16.47
Blend,USD,247820000,1.24,4,29-12-2005,136448,Large,9.78
Growth,USD,1700000000,0,2,30-03-2008,250469,Large,14.87
Value,USD,104640000,3.15,3,01-09-2003,31841,Large,7.79
Value,USD,215550000,2.21,0,05-12-2016,244043,Large,11.65
Value,USD,8430000,1.58,0,30-06-2016,246707,Large,8.25
Value,USD,34300000000,2.14,4,29-11-2016,176615,Large,9.1
Growth,USD,516550000,0.12,2,27-06-1996,150884,Large,14.17
Value,USD,109970000,10.28,0,16-02-2016,70829,Small,7.94
Growth,USD,221250000,0,5,27-05-2015,32570,Large,13.55
Value,USD,463420000,2.98,3,24-11-1985,70091,Medium,1.76
Blend,USD,2950000,1.66,,03-10-1995,199403,Large,3.9
Blend,USD,102020000,1.01,2,18-11-2012,62486,Large,6.65
Blend,USD,50300000,2.8,3,28-02-2017,59255,Medium,3.01
Blend,USD,54680000000,1.68,4,13-10-2005,93527,Large,2.36
Blend,USD,171530000,0.66,1,23-09-2001,92789,Large,8.57
,USD,100170000,2.64,3,30-05-2012,193049,,2.79
Value,USD,1830000000,2.04,4,31-01-2002,35720,Medium,2.28
Growth,USD,1130000000,2.88,3,28-04-1983,183347,Medium,2.74
Value,USD,39330000,4.64,3,29-06-2015,140993,Large,5.47
Growth,USD,775180000,0,0,24-05-2017,90035,Medium,19.41
Growth,USD,1200000000,0,1,30-04-2013,90980,Medium,19.49
Blend,USD,531740000,1,4,19-11-2012,133973,Large,10.74
Blend,USD,2320000,0,0,13-12-2016,203057,Small,10.07
Blend,USD,,,0,04-08-2015,88406,Large,
Blend,USD,10530000,1.27,1,17-03-2013,189449,Medium,2.4
Growth,USD,18960000,0,2,27-01-2013,243233,Large,16.76
Blend,USD,15330000,0.19,2,26-04-2010,238814,Large,13.37
Growth,USD,4630000000,0.1,4,31-01-2010,204479,Large,11.19
Blend,USD,4560000000,0.84,5,27-12-2015,150533,Medium,6.62
Value,USD,8010000000,0.76,4,31-03-2005,166130,Medium,14.46
Value,USD,1030000000,2.13,2,14-11-2010,154295,Large,9.81
Value,USD,32580000,0,2,30-03-1997,76895,Medium,7.77
Value,USD,958950000,2.32,3,15-04-2012,237653,Medium,0.96
Blend,USD,5100000000,2.21,3,22-01-2015,58463,Large,2.78
Value,USD,1260000000,3.28,2,28-04-2011,143423,Medium,2.52
Value,USD,6380000000,0.64,3,02-08-2009,27665,Small,12.25
Growth,USD,3730000000,0,3,29-06-2011,142793,Large,20.66
Value,USD,2290000000,2.27,4,05-06-2011,192779,Medium,11.76
Blend,USD,71610000,2.05,3,14-12-2014,230156,Large,10.63
Blend,USD,39830000000,2.15,4,08-11-1992,242117,Large,9.54
,USD,81550000,3.37,3,28-11-1991,165824,,1.92
Growth,USD,2030000000,0,2,23-06-1998,155096,Medium,15.55
Blend,USD,110200,2.32,0,07-06-2017,94931,Large,8.02
Blend,USD,3690000000,0.21,3,28-12-2000,226178,Large,13.3
Blend,USD,239420000,0.72,2,18-12-2005,251090,Medium,13.5
Value,USD,14770000,0,,30-09-2002,148427,Large,11.58
Blend,USD,2030000000,2.76,4,01-03-2007,60308,Large,1.88
Growth,USD,361390000,0,5,29-09-2015,43649,Medium,18.53
Value,USD,4650000000,2.06,4,30-12-1987,246410,Medium,1.32
Blend,USD,337110000,3.95,4,29-11-2006,198395,Large,10.89
,USD,73970000,2.28,5,15-12-2013,226259,,5.48
,USD,549020000,1.27,3,15-03-2017,205001,,6.72
Growth,USD,144500000,0.61,3,11-12-1994,54368,Large,15.08
Value,USD,1550000000,2.18,,31-03-2005,161963,Medium,1.8
Value,USD,407740000,4.89,3,30-01-2008,198089,Small,4.13
Blend,USD,3280000000,1.55,4,26-02-1998,156329,Large,13.57
Value,USD,2590000000,0.88,4,30-10-2014,76292,Small,13.57
Blend,USD,128660000,0.39,3,04-11-1997,116621,Large,13.7
Growth,USD,1370000000,0,,03-04-2017,99179,Large,11.86
Value,USD,21460000,2.19,2,01-10-1997,43496,Large,8.54
Growth,USD,320290000,0,3,30-04-1996,40184,Medium,16.53
Blend,USD,135590000,2.46,2,15-07-1992,225179,Large,2.58
Blend,USD,263370000,1.55,,10-08-2003,227357,Large,13.46
Growth,USD,790820000,0,3,14-09-2005,201914,Small,13.44
Growth,USD,15710000,1.39,0,17-01-2018,90791,Large,7.33
Blend,USD,23870000,1.78,4,17-09-2013,174932,Large,12.42
Blend,USD,6420000,0.11,,23-02-2017,236033,Medium,10.33
Blend,USD,53310000,0.58,,11-01-1995,94391,Large,2.26
Blend,USD,4210000,0,1,31-03-2002,193427,Medium,14.67
Blend,USD,86960000000,2.41,3,03-05-1994,242873,Large,11.3
Blend,USD,964110000,0.35,3,17-12-1981,88829,Medium,15.12
Growth,USD,272650000,0,4,06-03-2011,71207,Large,16.87
Value,USD,232990000,1.46,1,03-04-2017,221012,Medium,9.15
Growth,USD,380800000,0,4,31-03-2005,166607,Large,14.71
Value,USD,82380000,0.52,1,30-10-2000,231965,Medium,15.89
Value,USD,19310000,1.8,3,15-12-2005,216098,Small,6.9
Blend,USD,54640000,1.04,3,14-12-2015,170144,Large,13.72
,USD,18730000000,2.4,4,31-01-1996,198071,,1
Blend,USD,13340000,1.19,0,03-10-2017,60065,Medium,-0.5
Growth,USD,1390000000,1.66,,29-12-2005,135377,Large,12.91
Growth,USD,403230000,0.18,3,26-06-2006,85517,Large,11.51
Growth,USD,244690000,3.76,,31-07-2017,161684,Medium,3.22
Value,USD,379310000,3.9,3,09-04-2017,30563,Small,5.14
Growth,USD,9470000000,0.97,4,26-03-2015,131219,Large,13.33
Value,USD,10180000000,2.82,,29-03-2005,226232,Large,11.03
Blend,USD,35520000,1.62,2,27-09-2012,67535,Medium,12.96
